"","prod","title","author","date","ver.purchase","format","stars","comments","helpful"
"779","Samsung Galaxy S8 Unlocked 64GB - US Version (Midnight Black) - US Warranty","BAD PRODUCT NEVER BUY SAMSUNG AGAIN • Only allow me ...","Sebastian Infante","September 17, 2017",1,"Size: Galaxy S8",1,"BAD PRODUCT NEVER BUY SAMSUNG AGAIN• Only allow me use it 2 days.• No International warrantee so I lost my money• Common problem with this modelOnly works fine 2 days and suddenly white strip appear on right third on entire screen, couple ours after that (following samsung support) made a factory reset and few our after that, screen go black in a middle of a whatsapp message and never turn on again.INTERNATIONAL WARRANTEE INEXISTENT (so international buyers don't even think about buy samsung products like i do)Amazon support was great, but only and exclusively with limitation only for US main territory and if you think pour guy bad luck, don't think that, the problem on this model is high.I share with you this comment like think to make with my more than 15k followers on social networks, I NEVER BUY SAMSUNG PRODUCT AGAIN, my last item was gear 360 and guess what?, no work with Samsung Phone's (only with S6 S7 S8) extensively on other post,I said ""my bad"" to don't be more literate about product, only read about 15 hrs with reviews with another products, and because that and exclusively to use this camera buy a S8,If you have heard about battery explosion on 7 version I'm thinking ""this thing"" was remembered like a S8 minor problem.",3
"780","Samsung Galaxy S8 Unlocked 64GB - US Version (Midnight Black) - US Warranty","Not good.","Arsslan B.","September 23, 2017",1,"Size: Galaxy S8",1,"It gets stuck. Have to  force restart frequently.",2
"781","Samsung Galaxy S8 Unlocked 64GB - US Version (Midnight Black) - US Warranty","Four Stars","Amazon Customer","August 30, 2017",1,"Size: Galaxy S8",4,"Pretty cool",NA
"782","Samsung Galaxy S8 Unlocked 64GB - US Version (Midnight Black) - US Warranty","Not good for my business","Kim","September 8, 2017",1,"Size: Galaxy S8",1,"Piece of junk!  Have to shut phone off to get notifications.  Not good for my business.",3
"783","Samsung Galaxy S8 Unlocked 64GB - US Version (Midnight Black) - US Warranty","My boyfriend J, loves his new phone, its ...","Stine Olaug Eiken","July 31, 2017",1,"Size: Galaxy S8",5,"My boyfriend J, loves his new phone, its a phone he likes he said after using it for some hours.",3
"784","Samsung Galaxy S8 Unlocked 64GB - US Version (Midnight Black) - US Warranty","I received an empty box .. I demand my money back","Jonathan Rodriguez","December 19, 2017",1,"Size: Galaxy S8",1,"I received an empty box .. I demand my money back",NA
"785","Samsung Galaxy S8 Unlocked 64GB - US Version (Midnight Black) - US Warranty","The phone itself is pretty good and have had the phone about a month ...","Austin","August 27, 2017",1,"Size: Galaxy S8+",1,"The phone itself is pretty good and have had the phone about a month ans i was in class and dropped it fell out od my pocket and the screen shattered. I have never had such a cheap screen. They want more than 500 dollars to replace it.",17
"786","Samsung Galaxy S8 Unlocked 64GB - US Version (Midnight Black) - US Warranty","Four Stars","iye","August 11, 2017",1,"Size: Galaxy S8",4,"Thank you",NA
"787","Samsung Galaxy S8 Unlocked 64GB - US Version (Midnight Black) - US Warranty","Three Stars","vonronge","November 23, 2017",1,"Size: Galaxy S8",3,"I hate Bixby, and so will you. Don't buy this. Buy literally any other phone.",4
"788","Samsung Galaxy S8 Unlocked 64GB - US Version (Midnight Black) - US Warranty","Two Stars","Kalen","July 29, 2017",0,"Size: Galaxy S8",2,"Curved display was a huge mistake by Samsung.",1
